id,result
0,CORRECT
1,INCORRECT
2,CORRECT
3,CORRECT
4,INCORRECT
5,CORRECT
6,INCORRECT
7,CORRECT
8,INCORRECT
9,INCORRECT
10,CORRECT
11,INCORRECT
12,CORRECT
13,CORRECT
14,INCORRECT
15,INCORRECT
16,CORRECT
17,INCORRECT
18,CORRECT
19,INCORRECT
20,INCORRECT
21,INCORRECT
22,CORRECT
23,INCORRECT
24,CORRECT
25,INCORRECT
26,INCORRECT
27,INCORRECT
28,INCORRECT
29,INCORRECT
30,CORRECT
31,CORRECT
32,CORRECT
33,INCORRECT
34,INCORRECT
35,CORRECT
36,CORRECT
37,CORRECT
38,CORRECT
39,INCORRECT
40,CORRECT
41,CORRECT
42,CORRECT
43,INCORRECT
44,CORRECT
45,CORRECT
46,INCORRECT
47,CORRECT
48,CORRECT
49,CORRECT
50,CORRECT
51,CORRECT
52,CORRECT
53,INCORRECT
54,CORRECT
55,CORRECT
56,CORRECT
57,CORRECT
58,INCORRECT
59,INCORRECT
60,CORRECT
61,CORRECT
62,CORRECT
63,CORRECT
64,CORRECT
65,CORRECT
66,CORRECT
67,CORRECT
68,CORRECT
69,CORRECT
70,CORRECT
71,INCORRECT
72,INCORRECT
73,CORRECT
74,CORRECT
75,INCORRECT
76,CORRECT
77,INCORRECT
78,CORRECT
79,INCORRECT
80,INCORRECT
81,CORRECT
82,CORRECT
83,CORRECT
84,CORRECT
85,INCORRECT
86,INCORRECT
87,CORRECT
88,INCORRECT
89,INCORRECT
90,CORRECT
91,CORRECT
92,CORRECT
93,CORRECT
94,CORRECT
95,CORRECT
96,CORRECT
97,CORRECT
98,INCORRECT
99,CORRECT
